,,Comment,Remember,,Understand,,,,,,,Apply,,Analyze,,,Evaluate,,Create,,,,,,
,,,"Recognizing
Identifying","Recalling
Retrieving","Interpreting
Clarifying
Paraphrasing
Representing
Translating","Exemplifying
Illustrating
Instantiating","Classifying
Categorizing
Subsuming","Summarizing
Abstracting
Generalizing","Inferring
Concluding
Extrapolating
Interpolating
Predicting","Comparing
Contrasting
Mapping
Matching","Explaining
Construcing
Models","Executing
Carrying out","Implementing
Using","Differentiating
Discriminating
Distinguishing
Focusing
Selecting","Organizing
Finding
Coherence
Integrating
Outlining
Parsing
Structuring","Attributing
Deconstructing","Checking
Coordinating
Detecting
Monitoring
Testing","Critiquing
Judging","Generating
Hypothesizing","Planning
Designing","Producing
Constructing",Enhance,what gets enhanced,Abstract or Duplicate,special
,,,Locating knowledge in long-term memory that is consistent with presented material (e.g. Recognize the dates of important events in US. history),Retrieving relevant knowledge from long-term memory (e.g. Recall the dates of important events in US. history),Changing from one form of representation (e.g. numerical) to another (e.g. verbal) (e.g. Paraphrase important speeches and documents),Finding a specific example or illustration of a concept or principle (e.g. Give examples of various artistic painting styles) ,Determining that something belongs to a category (e.g. concept or principle) (e.g. Classify observed or described cases of mental disorders),Abstracting a general theme or major point(s) (e.g. Wirite a short summary of the events portrayed on a videotape),"Drawing a logical conclusion from presented information (e.g. In learning a foreign language, infer grammatical principles from examples)","Detecting correspondences between two ideas, objects, and the like (e.g.,Compare historical events to contemporary situations)",Constructing a cause-and-effect model of a system (e.g. Explain the causes of important 18th-century events in France),"Applying a procedure to a familiar task (e.g. Divide one whole number by another whole number, both with multiple digits)",Applying a procedure to an unfamiliar task (e.g. Use Newton's Second Law in situations in which it is appropriate),Distinguishing relevant from irrelevant parts or important from unimportant parts of presented material (e.g. Distinguish between relevant and irrelevant numbers in a mathematical word problem),Determining how elements fit or function within structure (e.g. Structure evidence in a historial description into evidence for and against a particular historical explanation),"Determine a point of view, bias, values, or intent underlying presented material (e.g. Determine the point of view of the author of an essay in terms of his or her political perspective)","Detecting inconsistencies or fallacies within a process or product, determining whether a process or product has internal consistency; detecting the effectiveness of a procedure as it is being implemented (e.g. Determine if a scientist's conclusions follow from observed data)","Detecting inconsistencies between a product and external criteria, determining whether a product has external consistency; detecting the appropriateness of a procedure for a given problem (e.g. Judge which of two methods is the best way to solve a given problem)",Coming up with alternative hypotheses based on criteria (e.g. Generate hypotheses to account for an observed phenomenon),Devising a procedure for accomplishing some task (e.g. Plan a research paper on a given historical topic),Inventing a product (e.g. Build habitats for a specific purpose), ,,,special
Abilities,Actions that agents can do which allow players to affect game states.,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,
Ability Losses,The event of losing the abilities of performing certain actions in a game.,slowly loose the ability to get hints to have the game start easy and ramp up in difficulty,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Abstract Player Construct Development,The development of abstract attributes and characteristics associated with a player of a game.,either as reward or that you can have more information the better your skill is,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Abstract Player Constructs,The abstract attributes and characteristics associated with a player of a game.,either as reward or that you can have more information the better your skill is,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Access Rewards,Rewards that provide players with voluntary access to gameplay that previously did not have access to.,equal to rewards,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Rewards,FALSE,Grey
Achievements,Goals whose fulfillment is stored outside the scope of individual game sessions.,equal to rewards,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Rewards,FALSE,Grey
Achilles' Heels,A special weakness that can be exploited to cause defeats easier than can be done by using the other means available.,use knowledge to find the achilles heel of an enemy e.g. by targetting the correct spot,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Action Caps,Limits on the numbers of actions allowed to be used.,need to choose the correct actions(e.g. correct answer) or loose,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,
